  0.31800000E+02  0.21563903E-22  0.62348529E-38
  0.31900000E+02  0.21432211E-22  0.60500171E-38
  0.32000000E+02  0.21301712E-22  0.59846906E-38
  0.32100000E+02  0.21172393E-22  0.57734470E-38
  0.32200000E+02  0.21044239E-22  0.56773494E-38
  0.32300000E+02  0.20917237E-22  0.58847968E-38
  0.32400000E+02  0.20791372E-22  0.57923053E-38
  0.32500000E+02  0.20666631E-22  0.59087768E-38
  0.32600000E+02  0.20543001E-22  0.57265492E-38
  0.32700000E+02  0.20420469E-22  0.57442892E-38
  0.32800000E+02  0.20299022E-22  0.52969785E-38
  0.32900000E+02  0.20178647E-22  0.62174755E-38
  0.33000000E+02  0.20059332E-22  0.55307381E-38
  0.33100000E+02  0.19941065E-22  0.56164125E-38
  0.33200000E+02  0.19823833E-22  0.53214534E-38
  0.33300000E+02  0.19707625E-22  0.55181852E-38
  0.33400000E+02  0.19592428E-22  0.53840591E-38
  0.33500000E+02  0.19478231E-22  0.51274368E-38
  0.33600000E+02  0.19365023E-22  0.51765637E-38
  0.33700000E+02  0.19252792E-22  0.52454097E-38
  0.33800000E+02  0.19141527E-22  0.52615974E-38
  0.33900000E+02  0.19031217E-22  0.54090063E-38
  0.34000000E+02  0.18921851E-22  0.54621422E-38
  0.34100000E+02  0.18813419E-22  0.49622622E-38
  0.34200000E+02  0.18705910E-22  0.51455885E-38
  0.34300000E+02  0.18599314E-22  0.51619630E-38
  0.34400000E+02  0.18493620E-22  0.50354933E-38
  0.34500000E+02  0.18388818E-22  0.54045484E-38
  0.34600000E+02  0.18284899E-22  0.53613685E-38
  0.34700000E+02  0.18181853E-22  0.53501408E-38
  0.34800000E+02  0.18079669E-22  0.50568447E-38
  0.34900000E+02  0.17978339E-22  0.49982298E-38
  0.35000000E+02  0.17877853E-22  0.49777012E-38
  0.35100000E+02  0.17778201E-22  0.49204910E-38
  0.35200000E+02  0.17679375E-22  0.48621077E-38
  0.35300000E+02  0.17581366E-22  0.50171565E-38
  0.35400000E+02  0.17484164E-22  0.51406197E-38
  0.35500000E+02  0.17387761E-22  0.48597825E-38
  0.35600000E+02  0.17292147E-22  0.49763146E-38
  0.35700000E+02  0.17197316E-22  0.49880993E-38
  0.35800000E+02  0.17103257E-22  0.49790299E-38
  0.35900000E+02  0.17009964E-22  0.47812524E-38
  0.36000000E+02  0.16917426E-22  0.48246994E-38
  0.36100000E+02  0.16825638E-22  0.48668510E-38
  0.36200000E+02  0.16734589E-22  0.47615192E-38
  0.36300000E+02  0.16644274E-22  0.48528381E-38
  0.36400000E+02  0.16554683E-22  0.46152157E-38
  0.36500000E+02  0.16465809E-22  0.45989430E-38
  0.36600000E+02  0.16377644E-22  0.46771768E-38
  0.36700000E+02  0.16290182E-22  0.45007957E-38
  0.36800000E+02  0.16203414E-22  0.45906946E-38
  0.36900000E+02  0.16117333E-22  0.44030621E-38
  0.37000000E+02  0.16031933E-22  0.44955666E-38
  0.37100000E+02  0.15947205E-22  0.48002706E-38
